identifier,category,subcategory,notes,hide_in_spends
17-46,Outreach,Events/Conference Attendance & Side Events,,0
17-47,Outreach,Events/Conference Attendance & Side Events,,0
17-51,Outreach,Events/Conference Attendance & Side Events,,0
17-63,Outreach,Events/Conference Attendance & Side Events,,0
17-64,Outreach,Events/Conference Attendance & Side Events,,0
17-83,Outreach,Events/Conference Attendance & Side Events,,0
17-91,Outreach,Events/Conference Attendance & Side Events,,0
17-92,Outreach,Events/Conference Attendance & Side Events,,0
17-93,Outreach,Events/Conference Attendance & Side Events,,0
17-94,Outreach,Events/Conference Attendance & Side Events,,0
17-130,Outreach,Events/Conference Attendance & Side Events,,0
17-135,Outreach,Events/Conference Attendance & Side Events,,0
17-137,Outreach,Events/Conference Attendance & Side Events,,0
17-138,Outreach,Events/Conference Attendance & Side Events,,0
17-157,Outreach,Events/Conference Attendance & Side Events,,0
17-166,Outreach,Events/Conference Attendance & Side Events,,0
17-171,Outreach,Events/Conference Attendance & Side Events,,0
17-189,Outreach,Events/Conference Attendance & Side Events,,0
17-201,Outreach,Events/Conference Attendance & Side Events,,0
17-204,Outreach,Events/Conference Attendance & Side Events,,0
17-205,Outreach,Events/Conference Attendance & Side Events,,0
17-207,Outreach,Events/Conference Attendance & Side Events,,0
17-239,Outreach,Events/Conference Attendance & Side Events,,0
17-240,Outreach,Events/Conference Attendance & Side Events,,0
17-241,Outreach,Events/Conference Attendance & Side Events,,0
17-242,Outreach,Events/Conference Attendance & Side Events,,0
17-245,Outreach,Events/Conference Attendance & Side Events,,0
17-246,Outreach,Events/Conference Attendance & Side Events,,0
17-247,Outreach,Events/Conference Attendance & Side Events,,0
17-248,Outreach,Events/Conference Attendance & Side Events,,0
17-249,Outreach,Events/Conference Attendance & Side Events,,0
17-270,Outreach,Events/Conference Attendance & Side Events,,0
17-271,Outreach,Events/Conference Attendance & Side Events,,0
17-272,Outreach,Events/Conference Attendance & Side Events,,0
17-274,Outreach,Events/Conference Attendance & Side Events,,0
17-275,Outreach,Events/Conference Attendance & Side Events,,0
17-276,Outreach,Events/Conference Attendance & Side Events,,0
17-277,Outreach,Events/Conference Attendance & Side Events,,0
17-278,Outreach,Events/Conference Attendance & Side Events,,0
17-279,Outreach,Events/Conference Attendance & Side Events,,0
17-280,Outreach,Events/Conference Attendance & Side Events,,0
17-281,Outreach,Events/Conference Attendance & Side Events,,0
17-282,Outreach,Events/Conference Attendance & Side Events,,0
17-283,Outreach,Events/Conference Attendance & Side Events,,0
17-284,Outreach,Events/Conference Attendance & Side Events,,0
17-285,Outreach,Events/Conference Attendance & Side Events,,0
17-286,Outreach,Events/Conference Attendance & Side Events,,0
17-287,Outreach,Events/Conference Attendance & Side Events,,0
17-288,Outreach,Events/Conference Attendance & Side Events,,0
17-1749,Talent & Education,Trainings & Hackathon,,0
17-289,Outreach,Events/Conference Attendance & Side Events,,0
17-290,Outreach,Events/Conference Attendance & Side Events,,0
17-291,Outreach,Events/Conference Attendance & Side Events,,0
17-292,Outreach,Events/Conference Attendance & Side Events,,0
17-293,Outreach,Events/Conference Attendance & Side Events,,0
17-295,Outreach,Events/Conference Attendance & Side Events,,0
17-296,Outreach,Events/Conference Attendance & Side Events,,0
17-297,Outreach,Events/Conference Attendance & Side Events,,0
17-298,Outreach,Events/Conference Attendance & Side Events,,0
17-299,Outreach,Events/Conference Attendance & Side Events,,0
17-300,Outreach,Events/Conference Attendance & Side Events,,0
17-301,Outreach,Events/Conference Attendance & Side Events,,0
17-302,Outreach,Events/Conference Attendance & Side Events,,0
17-303,Outreach,Events/Conference Attendance & Side Events,,0
