id,category,subcategory,notes,hide_in_spends
856,Outreach,Advertising/Platform Integrations,,0
865,Development,Polkadot Protocol & SDK,,0
886,Development,Wallets,,0
892,Development,Polkadot Protocol & SDK,,0
893,Outreach,Events/Conference Attendance & Side Events,,0
895,Outreach,Advertising/Sponsorships,,0
897,Talent & Education,Trainings & Hackathon,,0
904,Development,Software Development,,0
905,Outreach,Advertising/Platform Integrations,,0
911,Development,Governance,,0
914,Talent & Education,Education,,0
915,Development,Software Development,,0
918,Development,Privacy,,0
922,Outreach,Market Research,,0
925,Development,Polkadot Protocol & SDK,,0
931,Outreach,Advertising/Sponsorships,,0
933,Development,Wallets,,0
938,Outreach,Social Media & Community Management,,0
942,Development,Smart Contracts,,0
943,Talent & Education,Trainings & Hackathon,,0
944,Development,Bridge,,0
947,Outreach,Content Creation & Distribution,,0
948,Development,SDKs,,0
955,Development,Polkadot Protocol & SDK,,0
961,Outreach,Events/Conference Attendance & Side Events,,0
965,Development,Smart Contracts,,0
968,,,,1
970,Development,Data Services & Indexing,,0
971,Development,Polkadot Protocol & SDK,,0
985,Development,SDKs,,0
987,Development,Polkadot Protocol & SDK,,0
995,Operations,Data Services & Indexing,,0
997,Development,Privacy,,0
1001,Development,Governance,,0
1006,,,,1
1019,Research,Governance,,0
1021,Development,Polkadot Protocol & SDK,,0
1025,Outreach,Ambassadors & Agents,,0
1031,Development,Polkadot Protocol & SDK,,0
1035,Business Development,DeFi & Fintech Integrations,,0
1037,Outreach,Content Creation & Distribution,,0
1044,Outreach,Ambassadors & Agents,,0
1045,Research,Security,,0
1052,Talent & Education,Education,,0
1054,Outreach,Advertising,,0
1055,Development,Polkadot Protocol & SDK,,0
1056,Operations,Explorers,,0
1057,Outreach,Events/Meetups,,0
1060,Development,Explorers,,0
1061,Development,Polkadot Protocol & SDK,,0
1068,Development,SDKs,,0
1069,Research,Governance,,0
1071,Operations,Ecosystem Services,,0
1074,,,,1
1076,Development,Wallets,,0
1077,Outreach,Advertising/Digital Ads,,0
1079,Outreach,Content Creation & Distribution,,0
1082,Operations,Legal,,0
1088,Development,Polkadot Protocol & SDK,,0
1090,Outreach,Market Research,,0
1091,Outreach,Content Creation & Distribution,,0
1095,Research,Smart Contracts,,0
1099,Development,SDKs,,0
1100,Development,Explorers,,0
1102,Business Development,DeFi & Fintech Integrations,,0
1103,Development,Polkadot Protocol & SDK,,0
1104,Economy,Stablecoins,,1
1113,Outreach,Events/Conference Hosting,,0
1114,Business Development,Protocol Subsidies,,0
1118,Development,Wallets,,0
1122,Economy,Market Operations,"since Centrifuge repaid a part of the spend, we will do a cleaned up line in the aggregated spends sheet",1
1123,Development,Smart Contracts,,0
1124,Business Development,NFTs,,0
1125,Talent & Education,PBA,,0
1126,Development,Polkadot Protocol & SDK,,0
1130,Outreach,Content Creation & Distribution,,0
1132,Operations,Data Services & Indexing,,0
