Extrinsic ID,Date,Block,Hash,Symbol,From,To,Value,Result,year-month,quarter
8212002-0,2025-02-14 11:03:48,8212002,0xccde73bb584a9043faf556cba60a56189593b3b7eec1bc7fa1c3a93239ff360d,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14ndeTDDPtYRdpVdmERFscuWby9k1kE89Dtw23zrH38LCtY,1037010,TRUE,2025-02,2025-Q1
8252306-0,2025-02-20 03:16:30,8252306,0x84f5f2844c35dbb1dcbba35ce45b7066ced38c417ed6280e49bbeb7d1715c098,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12uYULCstsq2Nd5hmjPidnSQGDcy4WJhLFw9qJJFEz6tEbiQ,25000,TRUE,2025-02,2025-Q1
8399866-2,2025-03-12 19:05:48,8399866,0xe69f256449deb285d25da58b9425e5f1537a6d4f528cf5b0c6336735e0d2cd14,USDT,167tDhLwaQ6kmqau1zwWx48Ux7CS1rxC9jW5kn8PeRZWAVUy,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,10,TRUE,2025-03,2025-Q1
8407281-2,2025-03-13 20:02:18,8407281,0x8b91c64574c07aa82e32edcfb531818ace943314a15ebbb70863d9956401ea0c,USDT,167tDhLwaQ6kmqau1zwWx48Ux7CS1rxC9jW5kn8PeRZWAVUy,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,2443.8,TRUE,2025-03,2025-Q1
8427353-0,2025-03-16 15:35:18,8427353,0x9e87ce7c814466c9b305bd720332c89bfd1b7c5fc32a1702f78c417edc953157,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12sNU8BXivMj1xQmcd4T39ugCyHjmhir8jkPqfAw5ZDESrx4,67051,TRUE,2025-03,2025-Q1
8433071-0,2025-03-17 10:50:48,8433071,0x2f555bd965892443d681e5da81e60d1d3b1d6142e6a1a9f5fed5fa15a033cda7,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,1ioDyqyquk949WZLePvHF3NndBqCmFW7jAigpzybifJ4YZ9,1000,TRUE,2025-03,2025-Q1
8436649-0,2025-03-17 22:54:00,8436649,0xad53f636df4bb8f6ae70e99311932d2e128f0052251d2c421ddddcb054230e60,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,15xjuCebCEYgd2otULLFqzXDNcfrErm9hyi3tMoXBvTFERtF,350000,TRUE,2025-03,2025-Q1
8461979-0,2025-03-21 12:26:00,8461979,0x42f7b1012dc3ce47d70fe3a0492beea1f2b3040df08243825595b080d30191ae,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,139L8cXPCrmyoE8wEFac46gCkT4DrcbxFYp3TgmvKgkdQ3Wk,90070,TRUE,2025-03,2025-Q1
8510583-0,2025-03-28 07:43:12,8510583,0x969ed706ec6c0f10dc632779f6ec38b06d1c63cb4dda52401c410d9af3b10dc4,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13SceNt2ELz3ti4rnQbY1snpYH4XE4fLFsW8ph9rpwJd6HFC,530671,TRUE,2025-03,2025-Q1
8530289-0,2025-03-31 02:06:36,8530289,0x19d2f51a3863341706f06ccd8a25250a1705371b98df600df5131b7ad8e6e7f2,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14RYaXRSqb9rPqMaAVp1UZW2czQ6dMNGMbvukwfifi6m8ZgZ,249250,TRUE,2025-03,2025-Q1
8582224-0,2025-04-07 09:43:12,8582224,0x582c80985de8b1decaaaf6a310ec9aa78be30b3f081393c4b9b483b17fdb0d76,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,14WDzCH27d6r3enLcGBFQLucoU174kMFX4n277bMaDjecqnS,1750000,TRUE,2025-04,2025-Q2
8605597-0,2025-04-10 16:52:48,8605597,0xcd7ccfe372ef59486b3f264103ae922f09ba4b74d9fb866d300fc90e792ab3c3,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,16dBWtYP2EH91cP6VJRFzPg9CmaY5PzK1LBPVmRRuEYEW5k6,5000,TRUE,2025-04,2025-Q2
8633271-0,2025-04-14 14:21:18,8633271,0xfe552f9504cdff82b4d4c46365f78396f3bb1b635c941c5734e7ee745fb0af07,USDT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,12bQQVKHXzYySZsx3dD8k1xfzrPdWMvc8vaFi5XewKUhDus4,290400,TRUE,2025-04,2025-Q2
